"","species","family","status","time"
"1","Adonis_aestivalis","Ranunculaceae","archeophyte",6000
"2","Adonis_flammea","Ranunculaceae","archeophyte",6000
"3","Agrostemma_githago","Caryophyllaceae","archeophyte",5500
"4","Alopecurus_myosuroides","Poaceae","archeophyte",4000
"5","Anagallis_arvensis","Myrsinaceae","archeophyte",6000
"6","Anchusa_arvensis","Boraginaceae","archeophyte",6000
"7","Anthemis_arvensis","Asteraceae","archeophyte",5000
"8","Anthemis_austriaca","Asteraceae","archeophyte",2500
"9","Anthemis_cotula","Asteraceae","archeophyte",11700
"10","Anthemis_tinctoria","Asteraceae","archeophyte",800
"11","Aphanes_arvensis","Rosaceae","archeophyte",6000
"12","Aphanes_inexspectata","Rosaceae","archeophyte",6000
"13","Arctium_lappa","Asteraceae","archeophyte",6000
"14","Arctium_tomentosum","Asteraceae","archeophyte",6000
"15","Aristolochia_clematitis","Aristolochiaceae","archeophyte",800
"16","Artemisia_absinthium","Asteraceae","archeophyte",1400
"17","Asparagus_officinalis","Liliaceae","archeophyte",800
"18","Asperugo_procumbens","Boraginaceae","archeophyte",1750
"19","Asperula_arvensis","Rubiaceae","archeophyte",7500
"20","Atriplex_patula","Chenopodiaceae","archeophyte",9200
"21","Avena_sativa","Poaceae","archeophyte",3000
"22","Ballota_nigra","Lamiaceae","archeophyte",6000
"23","Bellis_perennis","Asteraceae","archeophyte",1750
"24","Bromus_arvensis","Poaceae","archeophyte",7500
"25","Bromus_commutatus","Poaceae","archeophyte",1750
"26","Bromus_sterilis","Poaceae","archeophyte",6500
"27","Bromus_tectorum","Poaceae","archeophyte",7500
"28","Bryonia_alba","Cucurbitaceae","archeophyte",2000
"29","Bunium_bulbocastanum","Apiaceae","archeophyte",6000
"30","Bupleurum_rotundifolium","Apiaceae","archeophyte",850
"31","Calendula_arvensis","Asteraceae","archeophyte",2600
"32","Camelina_alyssum","Brassicaceae","archeophyte",5100
"33","Camelina_sativa","Brassicaceae","archeophyte",6000
"34","Carduus_acanthoides","Asteraceae","archeophyte",1750
"35","Carduus_nutans","Asteraceae","archeophyte",1850
"36","Castanea_sativa","Fagaceae","archeophyte",2000
"37","Caucalis_platycarpos","Apiaceae","archeophyte",850
"38","Centaurea_cyanus","Asteraceae","archeophyte",5200
"39","Cerastium_glomeratum","Caryophyllaceae","archeophyte",6000
"40","Chaenorrhinum_minus","Scrophulariaceae","archeophyte",3050
"41","Chenopodium_ficifolium","Chenopodiaceae","archeophyte",2000
